Country Name,Country ISO-3 Code,"Physicians per 1,000 People",Air Pollution,Secondary School Enrollment,Disease Mortality,Traffic Deaths,Region,"Physicians per 1,000 People_Norm",Air Pollution_Norm,Secondary School Enrollment_Norm,Disease Mortality_Norm,Traffic Deaths_Norm
Croatia,HRV,1.67,24.89,82.03,3.32,15.2,Other,0.3539445628997867,0.7665438992515148,0.823996781655436,0.980473834938818,0.6545454545454545
Haiti,HTI,0.1,18.96,46.3,44.07,17.5,Other,0.019189765458422176,0.8369965545918974,0.46464849642964895,0.4500130174433742,0.6022727272727273
Hungary,HUN,1.5,25.26,81.56,1.82,12.7,Other,0.3176972281449893,0.762148033741238,0.8192698380770391,1.0,0.7113636363636364
IBRD only,IBD,1.26,44.22,57.1,24.65,19.43,Other,0.26652452025586354,0.5368896281335394,0.5732676254651513,0.7028117677688103,0.5584090909090909
IDA & IBRD total,IBT,1.09,44.27,49.74,35.28,20.1,Other,0.2302771855010661,0.5362955922537721,0.499245700492809,0.5644363447019005,0.5431818181818182
IDA total,IDA,0.3,44.44,26.04,61.83,22.43,Other,0.06183368869936033,0.5342758702625638,0.26088705622045655,0.2188232231189795,0.49022727272727273
IDA blend,IDB,0.53,52.87,29.58,62.0,21.26,Other,0.11087420042643922,0.43412142093382444,0.2964899929598712,0.2166102577453789,0.5168181818181818
Indonesia,IDN,0.02,29.84,16.29,32.87,14.5,Other,0.0021321961620469083,0.7077343471545681,0.16282812028562804,0.595808383233533,0.6704545454545454
IDA only,IDX,0.17,40.03,14.98,61.74,23.06,Other,0.03411513859275053,0.5866698348580255,0.14965302222669213,0.21999479302265046,0.47590909090909095
Isle of Man,IMN,0.25,29.93,46.3,30.8,18.95,Other,0.05117270788912579,0.7066650825709873,0.46464849642964895,0.6227544910179641,0.5693181818181818
India,IND,0.21,62.0,61.63,46.71,16.9,Other,0.04264392324093816,0.32565046928834507,0.618827315699487,0.4156469669356939,0.615909090909091
Ireland,IRL,1.56,14.27,63.39,9.61,11.4,Other,0.3304904051172708,0.8927171201140549,0.6365282108015689,0.8985941161155949,0.740909090909091
"Iran, Islamic Rep.",IRN,0.24,33.82,77.81,14.6,26.8,Other,0.049040511727078885,0.660449091125104,0.7815548627174898,0.8336370736787295,0.3909090909090909
Iraq,IRQ,0.2,43.4,25.77,25.48,20.7,Other,0.04051172707889125,0.5466318165617203,0.258171577994569,0.6920072897682895,0.5295454545454545
Iceland,ISL,1.2,7.73,72.24,5.83,11.8,Other,0.25373134328358204,0.9704170131875965,0.7255355526501056,0.9478000520697735,0.7318181818181818
Israel,ISR,2.47,24.62,97.14,6.97,8.0,Other,0.5245202558635395,0.7697516930022573,0.9759629890375138,0.9329601666232752,0.8181818181818181
Italy,ITA,4.7,29.06,85.17,3.35,13.9,Other,1.0,0.7170013068789355,0.855576787689832,0.9800833116375944,0.6840909090909091
Jamaica,JAM,0.39,15.7,55.32,16.19,12.5,Other,0.0810234541577825,0.8757276939527148,0.5553655838278185,0.8129393387138766,0.7159090909090908
Jordan,JOR,0.35,23.4,74.42,18.43,23.2,Other,0.07249466950959486,0.7842461684685755,0.7474605249924571,0.7837802655558449,0.4727272727272728
Japan,JPN,1.0,13.37,46.3,12.25,12.5,Other,0.21108742004264391,0.9034097659498634,0.46464849642964895,0.8642280656079147,0.7159090909090908
Kazakhstan,KAZ,3.93,18.94,88.67,9.37,14.2,Other,0.835820895522388,0.8372341689438042,0.8907774313587449,0.9017183025253841,0.6772727272727272
Kenya,KEN,0.09,16.28,32.87,73.03,26.4,Other,0.017057569296375266,0.8688368777474159,0.32957859800864925,0.07302785732882056,0.4
Kyrgyz Republic,KGZ,3.09,22.02,82.28,17.02,12.4,Other,0.6567164179104478,0.8006415587501485,0.8265111133460726,0.8021348607133559,0.7181818181818183
Cambodia,KHM,0.03,30.87,16.6,52.75,17.9,Other,0.004264392324093816,0.695497208031365,0.1659458915820175,0.3370216089560011,0.5931818181818183
Kiribati,KIR,0.54,10.97,23.34,29.4,8.3,Other,0.11300639658848614,0.931923488178686,0.23373227396158097,0.6409789117417339,0.8113636363636363
St. Kitts and Nevis,KNA,0.24,9.14,66.65,30.8,18.95,Other,0.049040511727078885,0.9536652013781632,0.6693150960474706,0.6227544910179641,0.5693181818181818
"Korea, Rep.",KOR,0.5,25.98,35.33,6.73,25.6,Other,0.1044776119402985,0.7535939170725912,0.35431962184451365,0.9360843530330643,0.4181818181818181
Kuwait,KWT,0.87,54.8,53.89,8.5,26.1,Other,0.1833688699360341,0.4111916359748129,0.540983606557377,0.9130434782608696,0.40681818181818175
Latin America & Caribbean (excluding high income),LAC,1.19,27.31,58.73,20.41,17.08,Other,0.25159914712153514,0.7377925626707853,0.5896610680881021,0.7580057276750847,0.6118181818181818
Lao PDR,LAO,0.02,29.69,13.91,52.88,13.8,Other,0.0021321961620469083,0.7095164547938695,0.13889168259076737,0.33532934131736536,0.6863636363636363
Lebanon,LBN,0.78,16.4,46.3,10.69,19.2,Other,0.16417910447761194,0.8674111916359748,0.46464849642964895,0.8845352772715439,0.5636363636363637
Liberia,LBR,0.08,39.46,16.96,73.37,35.5,Other,0.014925373134328358,0.5934418438873708,0.16956652921653423,0.06860192658161934,0.19318181818181823
Libya,LBY,0.15,32.82,13.22,16.57,20.6,Other,0.029850746268656712,0.6723298087204468,0.13195212712461027,0.8079927102317105,0.5318181818181817
St. Lucia,LCA,0.14,23.27,60.9,9.84,19.8,Other,0.027718550106609806,0.78579066175597,0.611485467162828,0.895600104139547,0.55
Least developed countries: UN classification,LDC,0.09,40.29,12.12,63.94,23.54,Other,0.017057569296375266,0.5835808482832363,0.12088906768580909,0.19135641759958355,0.46499999999999997
Liechtenstein,LIE,0.82,29.93,94.01,30.8,18.95,Other,0.17270788912579954,0.7066650825709873,0.9444835562707433,0.6227544910179641,0.5693181818181818
Sri Lanka,LKA,0.22,26.24,58.68,11.18,15.1,Other,0.04477611940298507,0.7505049304978021,0.5891582017499748,0.8781567300182245,0.6568181818181817
Low & middle income,LMY,0.95,45.6,49.58,37.08,19.84,Other,0.20042643923240935,0.5204942378519664,0.4976365282108015,0.5410049466284823,0.5490909090909091
Lesotho,LSO,0.04,26.37,4.5,63.62,27.0,Other,0.006396588486140724,0.7489604372104075,0.04425223775520467,0.19552199947930238,0.38636363636363635
Late-demographic dividend,LTE,1.41,40.21,69.83,10.45,21.91,Other,0.29850746268656714,0.5845313056908638,0.7012973951523684,0.887659463681333,0.5020454545454545
Lithuania,LTU,3.72,22.54,83.09,2.8,22.8,Other,0.791044776119403,0.7944635856005703,0.8346575480237354,0.9872429054933611,0.4818181818181818
Luxembourg,LUX,1.0,17.42,44.26,4.45,17.9,Other,0.21108742004264391,0.8552928596887251,0.44413154983405406,0.9657641239260609,0.5931818181818183
Latvia,LVA,3.62,27.69,78.85,3.01,29.2,Other,0.7697228144989339,0.7332778899845551,0.792014482550538,0.9845092423847956,0.3363636363636364
"Macao SAR, China",MAC,0.41,29.93,47.39,30.8,18.95,Other,0.08528784648187632,0.7066650825709873,0.4756109826008247,0.6227544910179641,0.5693181818181818
Morocco,MAR,0.11,20.51,40.14,21.32,23.9,Other,0.021321961620469083,0.818581442319116,0.4026953635723624,0.7461598542046342,0.4568181818181819
Monaco,MCO,2.4,10.49,46.3,30.8,0.0,Other,0.509594882729211,0.9376262326244506,0.46464849642964895,0.6227544910179641,1.0
Moldova,MDA,2.82,34.67,78.24,5.36,13.6,Other,0.5991471215351812,0.6503504811690626,0.7858795132253846,0.9539182504556105,0.6909090909090909
Madagascar,MDG,0.12,10.71,17.3,60.76,26.6,Other,0.02345415778251599,0.9350124747534752,0.17298602031580004,0.23275188752928933,0.3954545454545454
